Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade,percentage
1,8,1,4,2,1,2,4,3,70.0,70.0
1,8,1,5,2,1,4,2,1,49.53,49.53
1,8,1,2,2,1,2,4,4,68.0,68.0
1,8,2,1,2,1,2,4,4,50.0,50.0
0,8,0,0,0,0,2,2,2,80.5,80.5
1,8,2,3,2,1,2,2,2,72.1,72.1
1,8,2,3,3,1,1,2,3,40.0,40.0
1,8,2,2,1,1,2,3,3,80.33,80.33
0,8,2,3,3,1,2,0,3,90.0,90.0
1,8,3,1,3,1,2,4,4,92.5,92.5
0,8,1,5,1,1,2,4,3,92.5,92.5
1,8,3,1,4,1,4,5,4,60.0,60.0
1,8,2,5,3,1,3,4,5,56.5,56.5
1,8,4,2,4,1,2,4,4,95.0,95.0
0,8,0,0,0,0,1,4,2,92.0,92.0
0,8,0,0,0,0,2,3,4,75.0,75.0
1,8,2,3,2,1,2,2,3,65.0,65.0
1,8,1,5,1,1,1,2,1,80.0,80.0
0,8,3,5,1,1,1,4,2,90.0,90.0
0,8,0,0,0,0,1,3,4,95.0,95.0
1,8,0,0,0,0,1,4,2,80.0,80.0
0,8,2,5,1,1,2,3,1,70.0,70.0
1,8,2,3,2,1,1,3,3,55.0,55.0
0,8,1,5,1,1,1,4,3,72.5,72.5
1,8,1,1,4,1,1,3,3,55.0,55.0
0,8,0,0,0,0,1,4,4,96.0,96.0
0,8,0,0,0,0,2,4,4,72.0,72.0
0,8,0,0,0,0,2,3,2,80.0,80.0
0,8,3,2,1,1,3,5,4,80.0,80.0
0,8,2,5,1,1,2,4,6,100.0,100.0
0,8,0,0,0,0,1,2,2,75.0,75.0
1,8,0,0,0,0,3,3,4,94.5,94.5
1,8,0,0,0,0,1,3,1,60.0,60.0
0,8,0,0,0,0,1,2,4,90.0,90.0
0,8,0,0,0,0,1,3,2,50.0,50.0
1,8,0,0,0,0,1,3,4,75.0,75.0
1,8,0,0,0,0,1,2,2,60.0,60.0
1,8,0,0,0,0,2,3,4,80.0,80.0
1,8,0,0,0,0,2,4,2,50.0,50.0
0,8,0,0,0,0,1,5,2,85.0,85.0
0,8,0,0,0,0,2,2,4,89.0,89.0
0,8,0,0,0,0,2,3,2,85.0,85.0
0,8,1,5,1,1,1,3,2,80.0,80.0
0,8,0,0,0,0,2,3,3,95.0,95.0
1,8,1,1,1,1,4,4,4,70.0,70.0
0,8,3,1,3,1,3,2,3,65.0,65.0
0,8,0,0,0,0,1,3,2,45.0,45.0
1,8,0,0,0,0,2,4,5,60.0,60.0
1,8,3,4,4,1,1,2,3,85.0,85.0
0,8,0,0,0,0,3,3,3,75.6,75.6
1,8,2,1,3,1,3,5,5,79.8,79.8
1,8,2,5,2,1,2,2,4,70.0,70.0
0,8,0,0,0,0,1,2,2,88.0,88.0
1,8,0,0,0,0,2,2,2,74.0,74.0
1,8,2,5,1,1,3,4,4,80.0,80.0
0,8,2,3,2,1,2,3,2,60.0,60.0
0,8,0,0,0,0,1,1,1,75.0,75.0
0,8,0,0,0,0,1,3,4,85.0,85.0
1,8,3,1,3,1,2,5,5,79.0,79.0
1,8,3,1,4,1,2,6,4,90.0,90.0
0,8,2,4,3,1,2,4,3,87.0,87.0
1,8,1,1,1,1,1,5,2,55.0,55.0
0,8,0,0,0,0,3,3,4,98.0,98.0
1,8,1,4,1,1,2,5,4,80.0,80.0
1,8,0,0,0,0,1,4,2,67.0,67.0
1,8,2,1,4,1,2,4,3,75.0,75.0
1,8,1,1,1,1,2,2,3,75.0,75.0
1,8,3,3,2,1,1,2,3,90.0,90.0
0,8,2,2,2,1,2,4,3,67.5,67.5
1,9,0,0,0,0,0,4,3,100.0,100.0
0,9,0,0,0,0,0,4,4,80.0,80.0
1,9,0,0,0,0,0,6,6,100.0,100.0
0,9,1,5,1,1,0,4,3,100.0,100.0
0,9,0,0,0,0,0,6,6,100.0,100.0
0,9,0,0,0,0,0,5,3,85.0,85.0
0,9,0,0,0,0,0,5,6,100.0,100.0
0,9,0,0,0,0,0,5,5,100.0,100.0
0,9,0,0,0,0,0,5,5,100.0,100.0
1,9,4,5,3,1,0,5,5,100.0,100.0
1,9,2,4,2,1,0,5,5,90.0,90.0
0,9,2,4,2,1,0,5,5,100.0,100.0
0,9,0,0,0,0,0,4,3,100.0,100.0
0,9,0,0,0,0,0,5,3,100.0,100.0
0,9,0,0,0,0,0,6,6,100.0,100.0
0,9,0,0,0,0,0,5,6,100.0,100.0
0,9,0,0,0,0,0,6,6,100.0,100.0
0,9,0,0,0,0,0,5,5,100.0,100.0
0,9,2,5,2,1,0,6,6,100.0,100.0
0,9,0,0,0,0,0,5,5,85.0,85.0
1,9,3,5,1,1,0,5,5,100.0,100.0
1,9,4,4,3,1,0,5,5,100.0,100.0
1,9,2,5,1,1,0,5,4,80.0,80.0
1,9,4,2,2,1,0,6,5,100.0,100.0
1,9,0,0,0,0,0,3,3,100.0,100.0
0,9,0,0,0,0,0,3,4,100.0,100.0
1,9,1,4,1,1,0,5,5,100.0,100.0
0,9,0,0,0,0,0,5,5,90.0,90.0
0,9,1,5,1,1,0,4,4,100.0,100.0
0,9,0,0,0,0,0,5,5,100.0,100.0
0,9,2,2,1,1,0,5,4,80.0,80.0
0,9,1,1,1,1,0,5,5,100.0,100.0
1,9,4,1,2,1,0,3,3,60.0,60.0
1,9,1,3,1,1,0,4,4,100.0,100.0
0,9,2,5,1,1,0,3,3,60.0,60.0
0,9,0,0,0,0,0,4,4,100.0,100.0
0,9,0,0,0,0,0,5,4,100.0,100.0
0,9,3,4,1,1,0,5,5,100.0,100.0
0,9,0,0,0,0,0,4,4,100.0,100.0
1,9,3,5,3,1,0,5,5,85.0,85.0
1,9,3,1,2,1,0,5,5,70.0,70.0
1,9,1,1,4,1,0,5,5,100.0,100.0
0,9,0,0,0,0,0,4,4,100.0,100.0
1,9,2,3,2,1,0,6,6,98.5,98.5
0,9,0,0,0,0,0,4,4,100.0,100.0
1,9,0,0,0,0,0,5,5,100.0,100.0
1,9,4,1,2,1,0,5,4,100.0,100.0
1,9,4,5,5,1,0,5,6,100.0,100.0
0,10,0,0,0,0,2,4,4,80.0,80.0
0,10,0,0,0,0,2,4,3,84.0,84.0
0,10,0,0,0,0,1,4,4,95.33,95.33
0,10,4,3,1,1,2,4,2,87.0,87.0
0,10,1,5,1,1,4,4,2,90.0,90.0
0,10,1,5,1,1,1,3,4,45.0,45.0
0,10,0,0,0,0,2,4,2,90.0,90.0
0,10,4,3,1,1,1,3,4,65.0,65.0
0,10,0,0,0,0,2,5,2,100.0,100.0
0,10,1,5,1,1,3,6,5,98.0,98.0
0,10,0,0,0,0,1,3,1,63.0,63.0
0,10,1,3,1,1,2,3,3,70.0,70.0
0,10,0,0,0,0,2,3,4,75.0,75.0
0,10,0,0,0,0,4,4,5,80.0,80.0
0,10,0,0,0,0,3,3,3,62.0,62.0
0,10,0,0,0,0,3,4,2,80.0,80.0
0,10,0,0,0,0,2,4,4,67.0,67.0
1,10,2,5,2,1,4,3,3,72.5,72.5
1,10,0,0,0,0,1,2,3,46.5,46.5
1,10,3,5,3,1,1,3,4,80.0,80.0
1,10,3,3,3,1,3,5,5,90.0,90.0
1,10,3,5,5,1,3,5,4,90.0,90.0
1,10,4,1,2,1,3,4,2,63.0,63.0
1,10,3,4,1,1,3,3,3,70.0,70.0
1,10,3,5,2,1,1,4,3,77.0,77.0
1,10,3,4,3,1,2,3,4,96.0,96.0
1,10,1,2,3,1,2,5,4,70.0,70.0
1,10,2,3,1,1,2,5,5,62.0,62.0
1,10,4,4,3,1,1,5,2,50.0,50.0
1,10,4,3,2,1,3,5,5,76.0,76.0
0,10,0,0,0,0,1,3,3,91.0,91.0
1,10,2,2,2,1,2,4,2,92.0,92.0
1,11,1,5,1,1,1,2,4,75.0,75.0
1,11,2,5,3,1,2,1,2,95.5,95.5
0,11,1,4,1,1,3,4,2,50.0,50.0
0,11,1,5,1,1,1,2,2,75.5,75.5
0,11,4,1,2,1,2,4,4,80.0,80.0
0,11,2,4,1,1,2,4,3,80.0,80.0
0,11,1,5,2,1,2,4,4,85.0,85.0
1,11,4,1,1,1,1,2,2,65.0,65.0
1,11,4,1,3,1,3,4,5,90.0,90.0
0,11,0,0,0,0,2,3,1,70.0,70.0
0,11,0,0,0,0,3,3,2,90.0,90.0
1,11,4,1,3,1,2,4,3,85.0,85.0
0,11,4,1,5,1,2,2,2,80.0,80.0
0,11,3,3,2,1,1,2,3,85.0,85.0
0,11,3,3,2,1,2,4,2,85.0,85.0
0,11,1,3,1,1,1,2,4,65.0,65.0
1,11,4,1,2,1,1,3,2,65.0,65.0
0,11,4,1,4,1,1,2,2,60.5,60.5
1,11,2,1,2,1,2,3,3,63.0,63.0
1,11,4,1,3,1,2,3,2,55.0,55.0
1,8,4,1,5,1,1,2,3,66.0,66.0
1,8,1,4,1,1,2,4,4,85.0,85.0
1,8,1,3,2,1,2,3,4,97.0,97.0
0,8,2,2,1,1,3,3,4,85.0,85.0
1,8,0,0,0,0,2,3,4,82.2,82.2
0,8,0,0,0,0,3,5,3,75.0,75.0
0,8,1,5,1,1,1,5,2,81.0,81.0
0,8,4,1,2,1,3,3,4,83.5,83.5
1,8,4,1,2,1,4,3,3,70.0,70.0
1,8,2,4,2,1,2,3,1,80.0,80.0
0,8,0,0,0,0,3,4,4,65.0,65.0
1,8,4,1,3,1,2,4,3,75.0,75.0
0,8,0,0,0,0,2,3,3,75.0,75.0
0,8,2,4,1,1,2,4,4,65.0,65.0
1,4,2,5,1,1,2,4,3,60.0,60.0
0,4,1,4,2,1,1,2,2,60.5,60.5
0,4,4,4,2,1,2,3,3,55.3,55.3
1,4,4,5,3,1,3,6,4,70.0,70.0
1,4,3,4,3,1,1,3,3,55.0,55.0
1,4,4,3,4,1,2,3,2,70.0,70.0
1,4,3,1,4,1,3,3,4,60.0,60.0
0,4,1,5,2,1,2,2,2,60.0,60.0
1,4,4,2,5,1,4,4,4,60.0,60.0
1,4,0,0,0,0,2,2,2,70.0,70.0
1,4,4,2,5,1,2,4,5,60.0,60.0
0,4,3,5,1,1,1,4,4,55.5,55.5
0,4,0,0,0,0,2,4,4,70.0,70.0
0,4,4,5,3,1,2,6,4,65.0,65.0
1,4,2,4,1,1,2,4,3,78.0,78.0
0,4,4,1,2,1,1,4,4,61.0,61.0
0,4,0,0,0,0,2,5,5,70.5,70.5
0,4,0,0,0,0,2,5,4,72.0,72.0
0,4,1,1,1,1,2,6,3,92.5,92.5
1,4,2,5,1,1,1,3,4,65.0,65.0
1,4,1,1,3,1,3,6,4,64.0,64.0
0,4,0,0,0,0,1,5,3,85.0,85.0
1,4,1,5,2,1,3,6,5,79.0,79.0
0,4,0,0,0,0,1,4,2,86.0,86.0
1,8,1,1,5,1,2,2,4,88.0,88.0
1,8,4,1,2,1,4,3,4,70.0,70.0
1,8,3,1,4,1,2,2,2,89.0,89.0
0,8,0,0,0,0,1,4,3,90.0,90.0
1,8,4,1,5,1,1,2,2,70.0,70.0
1,8,4,3,3,1,2,3,3,75.0,75.0
0,8,0,0,0,0,2,3,3,75.0,75.0
1,8,3,4,3,1,1,4,4,40.0,40.0
1,2,2,1,3,1,1,2,1,55.0,55.0
1,2,0,0,0,0,1,2,1,45.0,45.0
1,2,1,4,1,1,2,4,3,87.0,87.0
1,2,4,1,5,1,2,4,3,82.0,82.0
0,5,1,5,2,1,3,4,3,100.0,100.0
1,5,4,2,1,1,2,4,4,100.0,100.0
0,5,0,0,0,0,0,0,0,100.0,100.0
1,1,0,0,0,0,3,5,4,60.0,60.0
1,1,0,0,0,0,2,3,2,64.75,64.75
1,1,2,2,5,1,2,2,1,50.0,50.0
0,2,1,4,1,1,1,4,4,70.0,70.0
0,2,2,5,4,1,2,4,3,45.5,45.5
0,2,3,3,3,1,2,2,2,57.0,57.0
1,2,1,3,3,1,2,4,2,89.0,89.0
1,2,3,3,3,1,1,4,2,50.0,50.0
0,2,0,0,0,0,2,3,3,94.0,94.0
1,2,1,4,2,1,2,3,4,85.0,85.0
1,2,1,2,4,1,1,3,3,67.5,67.5
1,9,2,5,1,1,2,5,5,100.0,100.0
0,4,2,1,3,1,4,5,4,75.0,75.0
0,4,2,1,3,1,2,4,4,77.0,77.0
0,9,2,5,2,1,0,5,5,100.0,100.0
